,,(1=male;  2=female),,,(1=happy;2=sad),,,(1=HM1/SM1; 2=HM2/SM2 ; 3=HM3/SM3),,,"[min:sec,ms]",(-100=negative;100=positive),,,,LEXICAL FEATURES,,,,,ACOUSTIC FEATURES,,,,,,,,,,FACIAL FEATURES,,,,,,,,,,,,,,,,,,,,,,
#segments,Participant,gender ,Age ,Cue_word,Cue_word_coded,Emotion_Memory_Aggregated,Emotional_memory,Emo_Mem_coded,Emotional_Memory_Topic,Emotional_Memory_Topic_Coded,Emotional_memory_duration ,Question: How did you feel at that moment when the emotional event happened?,Past Valence,Question: How did you feel now when talking about this emotional memory?,Present Valence,sentiment_M,sentiment_SD,interval_number,starttime,endtime,z_mean_pitch,z_sd_pitch,z_range_pitch,z_mean_intens,z_sd_intens,z_range_intens,z_hammarberg,z_ar,z_mean_dur_silent,z_sil_rate,AU01_int_dur_pmin,AU01_int_std,AU01_int_zscore,AU04_int_dur_pmin,AU04_int_std,AU04_int_zscore,AU09_int_dur_pmin,AU09_int_std,AU09_int_zscore,AU10_int_dur_pmin,AU10_int_std,AU10_int_zscore,AU12_int_dur_pmin,AU12_int_std,AU12_int_zscore,AU14_int_dur_pmin,AU14_int_std,AU14_int_zscore,AU15_int_dur_pmin,AU15_int_std,AU15_int_zscore,duration,topic_index
1,1,1,70,Happy,1,HM1,HM1,1,HM1.1,1,"00:44,44",100,1,100,1,0.2475,0.297552516373161,2,16.2,60.46,-0.773062566939089,-0.861560638010726,-0.303462742438034,-1.06065637022286,-0.624950359847345,-0.637493071843496,-0.366152956453584,-0.931164982341715,2.34814852460325,-1.05641032784678,1.19295,0.17894,3.93311,28.8206,0.0689591,0.348767,0,0,-0.508204,58.4004,0.318227,-0.69518,40.1265,0.0997831,-0.274705,59.6204,0.366117,-1.62815,1.22006,0.301189,6.27815,44.265,1
2,1,1,70,Happy,1,,HM1,1,HM1.2,2,"00:22,22",100,1,100,1,0.125,0,4,61.61,83.32,-1.24658477565441,-1.06972151622026,-0.331469433180523,-1.0079918052521,-1.04702745236259,-0.862233257537478,-1.61974044768305,1.07864776209667,0.511795332211382,-0.636676256572565,0,0.364812,0.0994839,9.631,0.10583,0.402727,0,0,-0.508204,54.2989,0.506424,0.225112,48.3764,0.401435,0.383278,59.5572,0.68709,-0.151696,0,0.164323,-0.562216,21.706,2
3,1,1,70,Happy,1,,HM1,1,HM1.3,3,"00:10,10",100,1,100,1,0.14,0,5,83.32,93.22,-1.39911560739943,-1.40595082241996,-0.637152020369596,-2.26506871604228,-0.948115757452672,-0.589740002208123,-1.51745212908002,2.2995224049546,-1.49233535843575,-0.238004110021784,0,0.175746,-0.443644,42.0243,0.330864,2.03118,0,0.170309,0.102227,57.5709,0.254213,0.237989,46.7611,0.0459619,-0.301347,60,0.439913,-0.0622192,0,0.155622,-0.484535,9.903,3
4,1,1,70,Happy,1,,HM1,1,HM1.4,4,"00:16,16",100,1,100,1,0.065625,0.11932426932523,7,94.33,110.12,0.406195251160877,-0.548781578255526,0.0794926071629149,-0.508605087266963,1.05770261575554,0.80940038640155,-2.17953324238664,0.231034156545625,-0.150553433746753,0.918897326572746,0,0.33232,-0.0591195,7.22433,0.0636309,0.260085,0,0.00483046,-0.495951,53.6882,0.18675,0.156457,57.5665,0.123567,0.0929917,60,0.719023,0.106573,0,0.0548022,-0.650688,15.796,4
5,1,1,70,Happy,1,,HM1,1,HM1.5,5,"00:21,21",100,1,100,1,0.3525,0,11,126.19,147.04,-1.28585653460793,-0.624720162953156,-0.337981122653347,-0.620806865716383,-0.994513075251723,-0.963754564962808,-1.60868874443997,-0.750543400841888,-0.573720700886672,-0.465172012396002,0.518732,0.0463081,3.3436,3.51585,0.0486239,0.247886,0,0.0592211,0.870179,50.7205,0.575315,0.294433,47.781,0.190197,0.0863642,58.7896,0.587116,-0.280238,0,0.177063,-0.487795,20.85,5
6,1,1,70,Happy,1,,HM1,1,HM1.6,6,"00:25,25",100,1,100,1,-0.080952380952381,0.138054181088802,13,153.83,179.01,-0.90170732884441,-0.762265327293105,0.142081938214197,-1.297724133361,1.21466866602098,1.05856952031517,-0.555293247282083,0.199575603211997,-1.11910708555458,0.581906530997746,0,0.353423,0.0232122,18.124,0.116325,0.442686,0,0,-0.508204,53.9905,0.341676,0.0961633,42.496,0.22239,0.30905,59.3323,0.494892,-0.166773,0,0.273632,-0.266775,25.18,6
7,1,1,70,Happy,1,,HM1,1,HM1.7,7,"00:42,42",100,1,100,1,-0.112222222222222,0,15,182.34,223.91,-0.91598796846387,-0.518387440291573,-0.0716846177608324,-0.943126358660557,1.68152724934725,1.29306900944363,-1.62004076570596,0.141253566132795,-0.184284157939065,-1.17525976021475,0.490857,0.179332,4.00243,14.0327,0.087831,0.330334,0,0,-0.508204,49.23,0.259212,-0.524713,48.0173,0.184489,0.264074,56.7661,0.546558,-0.199929,0,0.277815,-0.306183,41.57,7
8,1,1,70,Happy,1,,HM1,1,HM1.8,8,"00:13,13",100,1,100,1,0.7,0,17,226.12,238.66,-0.866889769391245,-0.925926070175928,-0.179258691753277,-1.36027295685999,1.77478354979907,1.54251435005822,0.800522498945828,0.706800592355346,1.303810258701,-1.19632168493819,0,0.229557,-0.38624,21.1821,0.159873,0.495098,0,0,-0.508204,54.5367,0.215791,-1.0009,54.7284,0.425366,0.875256,59.2332,0.620569,1.36912,0,0.29626,-0.40707,12.54,8
9,1,1,70,Happy,1,HM2,HM2,2,HM2.1,1,"00:18,18",-60,-0.6,68,0.68,-0.2,0,2,24.04,41.97,-0.775153660597655,0.302971274656353,-0.126297664708685,-0.960192148775715,-1.11870092090291,-0.910446671674477,-0.513669169306804,-1.02518717545121,-0.260068772033481,1.07836618519306,4.55357,0.180009,3.64455,1.20536,0.0309089,0.415287,0,0.0381491,1.62796,57.0536,0.209932,-0.348069,13.2589,0.0416333,0.356314,58.9955,0.32833,-0.88117,1.07143,0.471436,6.59406,17.93,1
